GOOGLE_PLACE;HETUS
accounting;3.6.2
amusement_park;5.2.9
aquarium;5.2.6
art_gallery;5.2.3
atm;3.6.2
bakery;3.6.1
bank;3.6.2
bar;0.2.1
beauty_salon;0.3.2
bicycle_store;3.6.1
book_store;3.6.1
bowling_alley;6.1.4
cafe;0.2.1
car_dealer;3.6.1
car_rental;3.6.2
car_repair;3.6.2
car_wash;3.6.2
casino;7.3.1
cemetery;4.3.3
church;4.3.2
city_hall;3.6.2
clothing_store;3.6.1
convenience_store;3.6.1
courthouse;3.6.2
dentist;0.3.2
department_store;3.6.1
doctor;0.3.2
drugstore;3.6.1
electrician;3.6.2
electronics_store;3.6.1
embassy;3.6.2
fire_station;3.6.2
florist;3.6.1
funeral_home;3.6.2
furniture_store;3.6.1
gas_station;3.6.1
gym;6.1.5
hair_care;0.3.2
hardware_store;3.6.1
hindu_temple;4.3.2
home_goods_store;3.6.1
hospital;0.3.2
insurance_agency;3.6.2
jewelry_store;3.6.1
laundry;3.6.2
lawyer;3.6.2
library;5.2.4
liquor_store;3.6.1
local_government_office;3.6.2
locksmith;3.6.2
meal_delivery;3.6.1
meal_takeaway;3.6.1
mosque;4.3.2
movie_rental;3.6.2
movie_theater;5.2.1
moving_company;3.6.2
museum;5.2.3
night_club;5.1.9
painter;3.6.2
pet_store;3.6.1
pharmacy;3.6.1
physiotherapist;3.2
plumber;3.6.2
police;3.6.2
post_office;3.6.2
primary_school;2.1.1
real_estate_agency;3.6.2
restaurant;0.2.1
roofing_contractor;3.6.2
school;2.1.1
secondary_school;2.1.1
shoe_store;3.6.1
shopping_mall;3.6.1
spa;0.3.2
stadium;5.2.5
storage;3.6.2
store;3.6.1
supermarket;3.6.1
synagogue;4.3.2
travel_agency;3.6.2
university;2.1.1
veterinary_care;3.4.3
zoo;5.2.6