GOOGLE_PLACE;TUS_PLACE
accounting;13
airport;50
amusement_park;19
aquarium;19
art_gallery;18
atm;13
bakery;12
bank;13
bar;09
beauty_salon;12
bicycle_store;12
book_store;12
bowling_alley;15
bus_station;50
cafe;09
campground;04
car_dealer;12
car_rental;12
car_repair;12
car_wash;12
casino;19
cemetery;20
church;20
city_hall;13
clothing_store;12
convenience_store;12
courthouse;13
dentist;14
department_store;12
doctor;14
drugstore;12
electrician;12
electronics_store;12
embassy;13
fire_station;13
florist;12
funeral_home;12
furniture_store;12
gas_station;12
gym;15
hair_care;12
hardware_store;12
hindu_temple;20
home_goods_store;12
hospital;14
insurance_agency;12
jewelry_store;12
laundry;12
lawyer;13
library;07
light_rail_station;50
liquor_store;12
local_government_office;12
locksmith;12
lodging;04
meal_delivery;12
meal_takeaway;12
mosque;20
movie_rental;12
movie_theater;16
moving_company;12
museum;16
night_club;17
painter;12
park;21
pet_store;12
pharmacy;12
physiotherapist;14
plumber;12
police;13
post_office;13
primary_school;06
real_estate_agency;12
restaurant;09
roofing_contractor;12
rv_park;04
school;06
secondary_school;06
shoe_store;12
shopping_mall;12
spa;12
stadium;15
storage;12
store;12
subway_station;50
supermarket;12
synagogue;20
taxi_stand;50
train_station;50
transit_station;50
travel_agency;12
university;06
veterinary_care;12
zoo;19