code;descr;other
3.9.2;Other support to of an adult household member;" Definition : Supervision indoors and outdoors  (passive care) . Accompanying an adult at 
home to visit a doctor. Waiting at a day centre (if no other activity than waiting is 
specified). Visiting a household member in hospital or day centre. Teaching a mentally 
disabled adult or elderly people. Giving guidance. Menta l help, information and advice.  
Affective support. Other care and assistance to a dependent or non -dependent adult 
household member.  
 Note : For people who suffer any physical or mental illness or any disability or problem 
impairing their day -to-day activi ties, but also for non -dependent household members . 
 Examples : Was at the playground with the elderly adult (supervision outdoors) / Talking 
with a carer, doctor etc. / Went with my mother to the doctor / Teaching grandmother 
how to use computer/ smartphon e / Entertained my elderly father who lives with us / 
Playing games with my mentally disabled brother  / Cutting husband's or wife's hair, 
massaging / Waking up adults (husband, wife, etc.).  
 "
4;VOLUNTARY WORK AND MEETINGS;
4.1;ORGANISATIONAL WORK; Definition : Working as a volunteer free of charge or for a minor fee.  
4.1.1;Organisational work (work for or through an organisation);" Definition : Work done for or through an organisation. Work for groups and associations, 
as well as work for school and ki ndergarten and neighbourhood groups, etc. Work as a 
committee member. Administrative work. Preparing activities, work for events. Baking, 
etc. for the organisation, working in the canteen. Repairs and other odd jobs for the 
organisation. Voluntary fire bri gade. Bookkeeping for clubs. Giving information, 
distributing leaflets. Activities connected with collecting money for the organisation. 
Volunteer work.  
 Care of the elderly and disabled via an organisation. Delivering meals. Teacher or 
course instructor.  Coach, referee, etc. in sports and gymnastics. Leader of a youth 
group, e.g. scout leader. Work in a childcare group. Leading or organising self -help 
group.  
 Note : Informal help to private households is included in code ""42 INFORMAL HELP TO  
OTHER HOUSEHOL DS"" and is coded according to the actual activity.  
 Examples : Board meeting / Collected material for a board meeting / Computer work for 
the hockey club / Counted and delivered ordered clothes (for the riding club) / 
Distribution of meeting notices / Elect ion night activities / Environmental care and animal 
 
 
 
 
  
protection / Fetched/sold Bingo lottery tickets / Preparing for the council meeting / 
Recruitment of sponsors / Sorted clothes (sale for the riding club) / Sorted 
correspondence of the club / Working wit h the organisation’s newsletter / Activities as 
member of religious helping groups: hospital visiting, soup kitchen, support groups, etc.  
 Coached handball team / Coaching sports / Donating blood made through an 
organisation, e.g. red cross / Helped at the  refugee centre / Helping with organised 
activities in the baths and clearing up the bathing -place / Leading religious youth group / 
Meeting with the youth section / Road maintenance in a voluntary group  "
4.2;INFORMAL HELP TO OTHER HOUSEHOLDS;" Definition : Direct help given by the respondent to another household and not arranged 
by an organisation.  
 Note : Should be coded as secondary activity if the activity is done for the respondent’s 
own household at the same time.  "
4.2.1;Construction and repairs as help;" Definition : Help to another household with building a house, repairing a car, and other 
activities that are included in code ""35 CONSTRUCTION AND REPAIRS"" . 
 Examples : Helped repair the neighbour’s roof / Made a toy for the grandchildren.  "
4.2.2;Help in empl oyment and farming;" Definition : Unpaid help provided by the respondent to a person of another household 
with that person’s paid work, or to another household with farming activities.  
 Examples : Help with milking, tending cattle/cows/calves, helped on my un cle’s farm, 
helped my sister to clean the office . "
4.2.3;Care of own children living in another household;" Definition : Help to another household with activities that are included in ""38 
CHILDCARE"" , when the care is for one's own child up to 17 years of age living in 
another household.  
 Examples : Taking care, over the weekend, of own child usually living with ex -partner.  "
4.2.4;Childcare as help to another household;" Definition : Help to another household with activities that are included in code ""38 
CHILDCARE"" (except code ""423 own children living in another household ""). 
 Examples : Unpaid childminding / Minding  grandchildren.  "
4.2.5;Providing help to an adult person in another household;" Definition : Adult assistance and care and other activities th at are included in code "" 39 
HELP TO AN ADULT HOUSEHOLD MEMBER "" (there within the own household , here 
for a person outside the own household) . 
 Examples : Went with my mother (who lives in another household) to the doctor / Help to 
my disabled or sick sister  (another household) / Entertained my disabled or sick friend 
(another household) / Assistance offered by lending money / Giving mental support to a 
friend / Visiting an old people’s home, hospital, etc.  / Teaching old neighbour how to use 
computer/ smartp hone.  "
4.2.9;Other/ unspecified informal  help to another household;" Definition : Help to another household with activities that are included (there for the own 
household , here for a person outside the own household ) in code ""31 FOOD 
MANAGEMENT "" (e.g. cooking , baking, preserving, dishwashing), in code ""32 
HOUSEHOLD UPKEEP "" or code ""33 CARE FOR TEXTILES "" (e.g. indoor and outdoor 
cleaning, laundry, ironing), in code ""34 GARDENING  AND PET CARE "" (e.g. walking the 
dog, gardening), in code ""36 SHOPPING AND SERVICES "" or in code ""37 HOUSEHOLD 
MANAGEMENT "". 
 Note : Accompanying an adult to the doctor is included in code ""425 Providing help to an 
 
 
 
 
  
adult person in another household "". 
 Examples : Baked for my elderly parents / Helped the hostess with the cooking / Washed 
dishes during the visit / Helped with removal / Watered indoor flowers at the neighbour’s 
/ Feeding a neighbour's dog / Mowing the lawn for my elderly mother / Went with the 
neighbour to buy a car / Helping a neighbour / Delivered food to my neighbour / He lping 
a relative.  "
4.3;PARTICIPATORY AND RELIGIOUS ACTIVITIES; Definition : Attending meetings free of charge or for a minor fee.  
4.3.1;Meetings;" Definition : Attending meetings and other organisational activities when not in a position 
of trust. Concerns a ll kind of meetings, etc. arranged by social, political, scout and other 
organisations, informal clubs and groups.  
 Note : Parent’s meeting is included in code ""384 Accompanying child "". 
 Examples : Organised programme in a Scout camp / Political party meetin g. "
4.3.2;Religious activities;" Definition : Visiting church, synagogue, mosque or other temple. Participating in religious 
ceremonies like weddings, funerals. Religious practice, praying, reading holy books, 
religious ceremonies, also at home.  Listening to religious service (also on TV, radio and 
video; media as secondary activity).  
 Note : The wedding party after the ceremony is included in code ""513 Celebrations "". 
 Note : Singing in church in a choir is included in code ""711 Arts (visual, performing, 
literary) "". 
 Note : Breaks in work because of prayer are included in code ""111 Working time in main 
and second job (including short breaks and travel at work) "". 
 Examples : Attended mass / Attending Sunday school, confirmation class / Listening to 
recordings of religious ceremonies / Reading the Bible / Watching religious services on 
TV / Participating in ceremonies of baptism, confirmation, first communion / Religious 
meeting / Religious practice carried out in a small group / Studying the bible  with family.  "
4.3.3;Visits to cemetery and grave care;" Definition : Visiting the graveyard / s pend ing time in a cemetery. maintain a grave. A 
grave is a place where a dead person or dead people are buried, esp. when under the 
ground and marked by a stone.  
 Examples : Prayed at the grave of my father / tending flowers on a grave / cleaning the 
gravestone.  "
4.3.9;Other or unspecified participatory  activities;" Examples : Voting / Witness in court / Donating blood individually (e.g. going directly to 
hospital).  
 "
5;SOCIAL LIFE AND ENTERTAINMENT;
5.1;SOCIAL LIFE;
5.1.1;Socialising with family;" Definition : Socialising with household  members only, when other activities are not 
mentioned. Within family, when not visiting  
 Note : Parents socialising with own children is coded as ""383 Reading, playing and 
talking with child "". 
 Note : Only talking between kids is coded as 511 while games/ playing should be in 
code ""732 Parlour games and play"".  
 
 
 
 
  
 Examples : Argued with my big sister / Talked with my brother / Said goodbye to my 
family / Teasing my brother  "
5.1.2;Visiting and receiving visitors;" Definition : Socialising with friends and relatives at home or in their home. Household 
members can also be present.  
 Note : The respondent is aske d to report on her/ his activities while visiting/ receiving  
visitors (e.g. eating, watching TV, playing games, etc.). Each such activity is given the 
appropriate code in the ""Main activity column"".  
 Note : The code 512 is used in the ""Secondary activity"" c olumn, to indicate that the 
activity was performed while visiting/receiving visitors. If the diary does not specify what 
the respondent did while visiting/receiving visitors, or if only socialising is mentioned, 
then the code 512 should be used in the main  activity column.  
 Example : Example on how to use code 512:  
  
 Examples : My family came to visit / Had a visitor / Visited my friend.  "
5.1.3;Celebrations;" Definition : Weddings, funerals, confirmation parties, graduations and big anniversaries. 
Together with household members, friends, relatives, etc. Private occasions at or outside 
home. Parties at work, organisations, etc.  
 Note : Occasions in church, synagogue, mosqu e or other temple are included in code 
""432 Religious activities "". 
 Note : Attending children’s parties at school or nursery is included in code ""384 
Accompanying child "". "
5.1.4;Audio and video conversation;" Definition : Conversations that are not in person (i.e. not face -to-face conversations) with 
members of the family, friends, relatives, etc.in spoken language.  
 Note : Phone calls to institutions, shops, etc. are included in code ""371 Household 
management "". Phone calls in connection with job are included in code ""111 Working 
time in main/ second job (including short breaks and travel at work)"".  
 Examples : Had a video call with my s on / Called my landlord  / Listened to messages on 
the answering machine  / Talked with a friend on Skype /  Phone call with a friend / Sent 
voice messages on Facebook Messenger . "
5.1.5;Communication by  text messaging (SMS, instant messages, email, etc.);" Definition : Communication  with members of the family, friends, relatives, etc. by  sending/ 
receiving text messages electronically or on paper (e.g. email  messag es / SMS  / instant 
messages sent via internet like on Viber, Whats App, Messenger, Snapchat, etc.) / Writ e 
and read personal letters, faxes, etc . 
 Examples : Reading, writing/ sen ding text messages  on mobile phone  / Checked the mail 
on computer, tablet, smart phone / Wrote Christmas cards, etc .. 
 Note : Talking with a friend on Skype, Viber, Facebook Messenger or any other  VoIP 
(Voice over the Internet) protocol s should be coded as ""514 Audio and video 
conversation "". 
  

 
 
 
 
  "
5.1.6;Time spent on social media;" Definition : Social media are online services or sites through which people  can 
communicate and hold conversations in form of posted messages. They can be in the 
form of short messages (e.g. chat rooms) or longer texts (including temporary archiving) 
for topical online discussions on forums, blogs, microblogs, etc. Included are a lso 
business networks, video and photo sharing . 
 Examples : Facebook / Tumblr / Instagram / Twitter / Linkedin  / etc. "
5.1.9;Other or unspecified social life;" Definition : Spending time face -to-face together with friends, relatives, etc. Household 
members can  also be present.  
 Examples : Conversation with neighbour / Conversations with relatives in a cafeteria / 
Outdoors with friends / Was at a pub with a friend / Was together with friends  "
5.2;ENTERTAINMENT AND CULTURE; Definition : As spectator/ listener.  
5.2.1;Cinema;" Definition : Watching movies in cinema or movie club. Waiting for the doors to open.  
 Note: Ordering a ticket is included in code ""371 Household management "", and buying 
the ticket is included in code "" 361 Shopping (including online/ e -shopping )"". "
5.2.2;Theatre and concerts;" Definition : Also opera, musical, operetta, ballet, dance performance. Live music concert, 
street performance, etc.  
 Examples : Dance (ballet, modern dance and other dance) / Live music (concert, 
chamber recital, jazz, rock concer t, etc.) / Music theatre (opera, light opera, musicals and 
other music theatre) / Other performance (street theatre, multi -media, etc.) / Plays.  "
5.2.3;Art exhibitions, museums and cultural sites;" Definition : Visit the space in which art objects meet an aud ience. Visit a museum, i.e. an 
institution that cares and conserves a collection of artifacts and other objects of artistic, 
cultural, historical, or scientific importance. Visit a site of cultural heritage importance.  
 Examples : Visit town museum / Visit art gallery / Visit cathedral, church, abbey, 
synagogue, mosque as a cultural site / Visit stately homes, (castles, monuments, historic 
houses) /  
 Note : Visit cathedral, church, abbey, synagogue, mosque for religious reasons (mass, 
celebration, prayer, etc.) is code d as ""432 Religious activities"".  "
5.2.4;Library;" Definition : Borrowing books, records, audiotapes, videotapes, etc. Using a computer in 
the library. Reading newspapers or listening to music in the library.  
 Note : Studies in a library are included in code ""212 Homework ""or in code ""221 Free time 
study "". 
 Examples : Borrowed a book from the school library / Searching for a book in the library 
catalogue (also with the help of computer).  "
5.2.5;Attending live sports events;" Definition : Attending a sports event, e.g. car race, horse race, football match, etc. 
(including breaks).  
 Note : Watching sports events on TV is included in code ""821 Watching TV, Video or 
DVD "". Accompanying own child at a sports centre is code d as ""384 Accompanying 
child "", if just for exercising, not for competition.  
 Examples : Boxing, Wrestling, Martial arts / Cricket / Horse and dog sports (horse racing, 
 
 
 
 
  
show jumping, polo, dressage, greyhound racing, etc.) / Watched child's tournament / 
Motor sp orts (car/motorcycle racing, rallying, scrambling, time trials, etc.) / Rugby union, 
Rugby league / Soccer, American football.  "
5.2.6;Zoos, botanical gardens, natural reserves, etc.;" Definition : Zoos (Wildlife park, sea -life centre, animal park, safari park ), botanical 
gardens, natural reserves, arboretum.  
 Examples : Walked around the zoological gardens / Admired plants in the botanical 
gardens.  "
5.2.9;Other or unspecified entertainment and culture;" Examples : Car shows / Cathedral, church, abbey / Consumer events / Factory visits (e.g. 
brewery) / Fairs, sales exhibitions, etc. / Fashion show / Leisure parks (theme park, pier, 
fairground, circus, fete, fairground, carnival) / One -off special event (e.g. tall ships race) / 
Stately homes, etc. (castles, monumen ts, historic houses) / Was on a visit to the fire -
brigade.  "
5.3;RESTING — TIME OUT;
5.3.1;Resting — Time out;" Definition : Doing nothing, just sitting, reflecting, relaxing, resting, waiting, meditating, 
smoking, sun bathing, thinking, talking to/ stroking a  cat or dog, etc.  
 Note : Waiting in the car while a household member is shopping is coded as ""369 Other  
or unspecified shopping and services "". 
 Note : Waiting at the doctor’s, the dentist’s, in a queue at the bank, etc. is given the same 
code as the main ac tivity connected with the waiting.  
 Note : Waiting for the bus is coded with the suitable travel code.  
 Examples : Admiring a flower / Being bored / Cooling off / Did not do anything special / 
Gathering strength / Just let the time pass / Looked out through the window / Just 
listening to birds / Killed time / Lay in bed after lunch and rested / Lazed around / 
Lounging / Lying in sun / Philosophised (alone) / To be at the beach / Took it easy / Tried 
to get to know myself / Waited for the children to come / Wa ited for guests to arrive / 
Walking in the house or around it / Watched an aquarium / Watched through the window 
/ Watching e.g. aeroplanes, people in general, boats.  
 "
6;SPORTS AND OUTDOOR ACTIVITIES;" Note : Includes activities for physical exercise, but  not trips with a special purpose (e.g. 
on foot to work).  "
6.1;PHYSICAL EXERCISE;
6.1.1;Walking and hiking;" Definition : Walking in town, in the countryside, etc. Looking at shop windows during a 
walk.  
 Note : Walking the dog is coded as ""344 Walking the dog "". 
 Examples : Picked wild flowers during a nature walk / Strolled in town / Taking a walk 
with the child in the neighbourhood (but exclude bringing child to activities, this should 
belong to code ""384 Accompanying child "") / Took a nature walk / Watched bir ds during 
the walk.  "
6.1.2;Jogging and running; Definition : For physical exercise.  
6.1.3;Cycling, skiing and skating;" Definition : For exercise.  
 
 
 
 
  
 Examples : Alpine skiing, snowboarding / Cross -country skiing / Roller skating, in -line 
skating / Ski jumping  "
6.1.4;Ball games;" Definition : Football, rugby, volleyball, basketball, tennis, squash, badminton, table tennis, 
ice hockey, bowling, golf, etc.  
 Examples : Football training / Kicked ball / Playing handball / Playing field hockey / 
Playing soccer  "
6.1.5;Gymnastics and fitness;" Definition : Organised programme or at home. All types of gymnastics, aerobic, yoga, etc. 
Exercise in fitness centre/ gym or at home using equipment.  
 Examples : Back gymnastics / Aerobics / Qi Gong / Morning gymnastics at home / 
Stretching / Body building / Using an exercise bike / Weight -lifting  "
6.1.6;Water sports;" Definition : Rowing, sailing, windsurfing, etc.  
 Examples : Swimming in the pool / Water gymnastics  "
6.1.9;Other or unspecified sports or outdoor activities;" Examples : Archery / Carting / Dancing / Judo, karate, etc. / Go -kart racing / Motor sports 
/ Mountain climbing / Riding / Attended a sports course / Attended training / Exercised a 
little.  "
6.2;PRODUCTIVE EXERCISE;
6.2.1;Productive exercise (e.g. hunting, fishing, pick ing berries, mushrooms or;"herbs)  
 Definition : Productive activities of monetary value belonging to SNA.  
 Examples : Gutting and skinning in the forest / Sprat -nets into the lake / Waited for the 
moose / Picking aromatic plants  "
6.3;SPORTS RELATED ACTIVITIES;
6.3.1;Sports related activities;" Definition : Activities related to sports and physical exercise, e.g. assembling and 
preparing sports equipment or getting changed at the sports centre. It does not include 
active sports and travel.  
 Note : Packing equipment, clothes, etc. at home is coded as ""324 Arranging household 
goods and materials "". 
 Examples : Waited for the gymnastics to start / Chose a horse / Cleaned nets / Cleaning 
of hunting gear / Unpacked jogging/training  equipment at the sport s centre.  
 "
7;HOBBIES;
7.1;ARTS AND HOBBIES;
7.1.1;Arts (visual, performing, literary);" Definition : Activities connected with creating paintings, photography, sculpture, ceramics, 
graphics, pottery, etc. at home or in a club. Also visual arts created with  the help of a 
computer. Singing, acting, playing alone or in a group. Producing music. Also performing 
arts created with help of a computer. Writing novels, poetry, personal diary, etc. Literary 
arts, also when use of computer is mentioned.  
 Note : Studyin g arts during free time is included in code ""221 Free time study "". 
 Note : Filling in the Time use diary is coded as ""995 Filling in the time use diary "". 
 Examples : Painted china / Video -filmed children / Choir practising in church / Live role -
 
 
 
 
  
play / Played  music on the keyboard / Played the clarinet in an orchestra / Played the 
piano / Playing in a band / Practised with the orchestra / Sang a little / Singing in a choir / 
Singing karaoke / Warmed up before concert / Wrote a book / Wrote down memorable 
momen ts (concerts, etc.) .  "
7.1.2;Collecting;" Definition : Collecting stamps, coins, etc.  
 Examples : Exchanged ice hockey cards / Sorting stamps . "
7.1.3;Making handicraft products;" Definition : Includes only making new products — not repairing clothes etc. — as this 
distinction is needed for household satellite accounts. Includes hand  knitting, 
needlework, embroidery, etc. and handicraft done by machine or  weaving.  
 Examples : Crocheting  / Making new clothes, curtains, etc. using a sewing -machine  / 
Sewing  / Stitch ing / Weaving rag -carpets  "
7.1.9;Other or unspecified hobbies;" Definition : Hobbies not included in the previous categories, research as hobby, 
genealogy, assembling apparatus, watching and sorting photos, slides, etc.  
 Note : Woodcraft is included in code 719 if it is done as a hobby. If it is done for repair, it 
should be coded as ""353 Making, repairing and maintaining equipment"".  
 Examples : Chemical experiments / Framing slides / Looked at slides on projector / 
Making miniatures (aircraft, etc.) / Put pic tures into a photo album / Watched movies via 
film-projector  / Made, sorted or edited  (with Photoshop) photos . "
7.2;COMPUTING;
7.2.1;Computing;" Definition : Programming  on computer, tablet, smartphone. Experimenting/ learning new 
software/ apps, creating app s, etc. as a hobby . 
 Examples : Building (assembling) the own computer / Fixing the computer /  Installing a 
computer game / Creating a new function by ""playing around"" with LINUX / Downloaded 
a mobile app.  "
7.2.2;Information search using internet;" Definition : Seeking, reading information by means of a computer, via network (e.g. 
netsurfing) or other data medium (e.g. encyclopaedia on CD Rom).  
 Note : Household management computing is included in code ""371 Household 
management "". 
 Note : Playing computer games is coded as ""733 Computer games "". 
 Note : All kinds of electronic communication (audio and video conversation, text 
messaging and online social media is to be coded as ""51 SOCIAL LIFE "" and the 
according three -digit codes (""514 Audio and  video conversation"", ""515 Communication 
by text messaging (SMS instant messages, email, etc.)"" and ""516  Time spent on social 
media ""). Sorting and editing photos is coded under 719: Other or unspecified hobbies.  
 Examples : Surfed on Internet / Used the modem  / Downloaded music or films / Uploaded 
photos on computer  / Seeking for a recipe, for the weather forecast, for shop opening 
hours, for directions (google maps) , etc. "
7.2.9;Other or unspecified computing;" Definition : Unspecified computing or specified computing not mentioned above.  
 Examples : Sat by the computer / Tapped at the computer keyboard / Worked at the 
computer (when not in employment) . 
  
 
 
 
 
  "
7.3;GAMES;
7.3.1;Solo games and play, gambling;" Definition : Crosswords, patience, etc. , solo game s / Playing alone with dolls, toys, cats, 
dogs, etc.  / Lottery, etc. / Also  playing cards (alone) specified as gambling.  
 Examples : Assembled a jigsaw puzzle (when alone) / Pinball (playing machine) / 
Practised card tricks / Betting (on -course and in betting shop) / Bingo / Gambling at 
casino / Have played in the shop / In betting shop / National Lottery / Playing cards for 
money / Pools / Slot (jackpot) machine.  "
7.3.2;Parlour games and play;" Definition : Forms of play and games indoors and outdoors  involving more than one 
person . Children playing with each other . 
 Note : Games as gambling are included in code ""731 Solo games and play, gambling "". 
 Note : Live role games are included in code ""711 Arts (visual, performing, literary).  
 Note : Parent playing with own child aged up to 17 is included in code ""383 Reading, 
playing, talking with child "". 
 Note : Only talking between kids is coded as ""511 Socialising with family"".  
 Examples : Cards, dice, dominoes, chess and other board games / Billia rds, snooker, 
darts / Outdoor games such as boules and p étanque / Noughts and crosses / 
Backgammon / Bridge.  "
7.3.3;Computer games;" Definition : Computer and video games played on desktop or laptop computer.  
 Examples : Playing patience on the computer  "
7.3.4;Console games (on home console);" Definition : Video games played on a home console.  
 Examples : Playing Nintendo, Play -station, Xbox.  "
7.3.5;Mobile games (on handheld device/ smartphone);" Definition : Mobile games are video games played on a feature phone, smartphone/ 
tablet, smartwatch, PDA, portable media player or graphing calculator.  
 Examples : Online games / Ravensworld: Shadowlands / Need for speed most wanted / 
New star soccer / Walking Mars / Temple run  / Games on Facebook . "
7.3.9;Other or unspecified  games;" Examples : Played a game . 
 "
8;MASS MEDIA;
8.1;READING;
8.1.1;Reading periodicals;" Definition : Reading daily, weekly, monthly, quarterly, etc. publications — newspapers, 
magazines , including online news/ newspapers/ news magazines . Reading local/  
national/ international newspapers.  
 Note : Reading strictly connected with work is included in code ""111 Working time in 
main/ second job (including short breaks and travel at work)"" . 
 Note : Online periodicals can either be a stand -alone publication or the  online version of a 
printed periodical.  
 Examples : Comics / Free distribution papers / Reading a hunting journal / Reading 
afternoon papers / Reading cartoons / Reading a computer journal / Reading the 
 
 
 
 
  
morning papers / Reading a scientific journal / Reade r’s digest  / Read the Guardian 
online.  "
8.1.2;Reading books;" Definition : Novels, life stories, instructional books,  including e -books , audio books  and 
reading books online . E-books (abbreviation for ""electronic books"") are books which are 
produced for reading on a computer screen. Audio books are voice recordings of the text 
of a book that you listen to rather than read. Nowadays, a vast selection of audio books 
are availabl e online from many different sources.  
 Note : Reading strictly connected with work is included in code ""111 Working time in 
main/ second job (including short breaks and travel at work)"" . 
 Note : Reading for an exam is included in code ""212 Homework "". 
 Note : Reading the Bible is included in code ""432 Religious activities "". 
 Examples : Looking in the encyclopaedia / Reading a biography / Reading a romance  / 
Read a book on my Kindle / Listened to a book on Spotify.  "
8.1.9;Other or unspecified reading;" Definition : Brochures, advertisements, etc.  
 Examples : Looked in a clothes catalogue / Read a furniture catalogue / Read a mail 
order catalogue / Read old personal letters / Read travel catalogues / Reading of user 
instructions / Reading of post / Read in bed . "
8.2;TV, VIDEO AND DVD;
8.2.1;Watching TV, video or DVD;" Definition : Watching TV, DVD or video when specified. Includes videotaped TV 
programmes and borrowed films.  Includes also Internet TV - content distributed over the 
Internet, available wherever a broadband connection exists. It includes Web -based 
shows, video on demand (VOD) (e.g. BBC iplayer, Netflix, Amazon Prime, Viaplay, 
HBO,etc.), streaming video and regul ar television shows hosted on the channel's 
websites (Youtube, Vimeo, Flickr, etc.).  
 Note : Following courses (language courses, etc.) on TV is included in code ""221 Free 
time study "". Watching TV is coded as secondary activity.  
 Note : Watching religious se rvices on TV is included in code ""432 Religious activities "". 
Watching TV is coded as secondary activity.  
 Examples : Listened to music on TV / Teletext / Watched movies / Watched TV with the 
children / Watched vlog / Video recording / Watched  a DVD film / Watched a home video  
/ Watched a video film  / Downloaded and watched a movie / watched show on Netflix; 
watched movie on Youtube.  "
8.3;RADIO AND RECORDINGS;
8.3.1;Listening to radio or recordings;" Definition : Listening to the radio: music, new s, commentaries, etc. Listening to music 
from CDs, MP3 players and digital audio files, cassettes, records and digital audio files.  
Also listening to music directly from internet/ streaming (e.g. Youtube, Spotify) or 
downloaded from Internet.  
 Note : Follow ing courses (language courses etc.) on radio is included in ""221 Free time 
study"". Listening to the radio is coded as secondary activity.  
 Note : Listening to religious services on radio is included in ""432 Religious activities"". 
Listening to the radio is c oded as secondary activity.  
 Examples : Recording music / Taping  / Listened to music   
 Note : Downloading music  is included in 722 Information search using internet . 
 
 
 
 
 
  "
9;TRAVEL AND UNSPECIFIED TIME USE;" Note : This group includes two different types of codes, which are 1) codes for travel 
related to its main purpose, and 2) auxiliary codes for activities that cannot be classified 
as belonging to any of the activity groups 0 -8. 
 Note : Also included in this group is code "" 995 Filling in the Time use diary "". 
 Note : Travel as part of/ during job is coded as ""111 Working time in main/ second job 
(including short breaks and travel at work)"".  
   TRAVEL BY PURPOSE  
 Definition : Movement between two localities, except when the activity is physical 
exercise like jogging, walking the dog or just walking. See also section 4.3.2.  
Characteristics of the cod ing system.  
 Note : When several activities are done at the same location the main purpose will define 
the trip, e.g. travel in connection with a visit is coded ""950 Travel related to social life "", in 
connection with help to another household is coded ""940 Travel related to volunteer work 
and meetings "", and in connection with eating is coded ""900 Other or unspecified travel 
purpose "". 
 Note : When the activity is mixed with the trip no subjective distinction between activity 
and travel should be made. The main rule is to code the whole episode by the activity, 
e.g. went shopping is coded ""361 Shopping "". "
9.1.0;Travel to/from work;" Definition : Travel to or from work (both main and second job(s)).  
 Note : Trips connected with shopping, childcare, etc. should be separated.  "
9.2.0;Travel related to study;" Definition : Travel to or from school or university. Other travel related to school/university, 
e.g. excursions. Travel related to free time study.  "
9.3.6;Travel related to shopping and services;" Definition : Travel related to  codes  ""36 SHOPPING AND SERVICES""  and ""37 
HOUSEHOLD MANAGEMENT"" . 
 Examples : By car to the shopping centre / Walked to the shop.  "
9.3.8;Travel related to childcare; Examples : Taking own children to school, practice, etc.  
9.3.9;Travel related to other household care;" Definition : Travel related to  codes 31 ""FOOD MANAGEMENT"" ; ""32 HOUSEHOLD 
UPKEEP"" ; ""33 CARE FOR TEXTILES"" ; ""34 GARDENDING  AND PET CARE"" and  ""35 
CONSTRUCTION AND REPAIRS"" ; it also includes the t ransporting an adult household 
member.  
 Example : Driving spouse to work  "
9.4.0;Travel related to voluntary work and meetings;" Definition : Travel related to  codes  ""41 ORGANISATIONAL WORK"",  ""42 INFORMAL 
HELP TO OTHER HOUSEHOLDS"" and "" 43 PARTICIPATORY ACTIVITIES"".  "
9.5.0;Travel related to social life; Examples : Went to chat with a neighbour.  
9.6.0;Travel related to other leisure;" Definition : Travel related to  codes  ""52 ENTERTAINMENT AND CULTURE"",  ""53 
RESTING  — TIME OUT"",  ""6 SPORTS AND OUTDOOR ACTIVITIES"",  ""7 HOBBIES "" 
and ""8 MASS MEDIA""; it includes d riving for pleasure  or driving unrelated to any special 
activity.  
 
 
 
 
  
 Examples : Going to the cinema/ going sunbathing at the beach/ Going to gym/ Going to 
play with friends/ going to see a movie at a friend's house / Drove around the village in  
the car / Going for a drive — with no particular purpose / Sightseeing / Travelling around,  
car tours, etc. / Went to sea.  "
9.8.0;Travel related to changing locality;" Definition : Going to the weekend home, going on a vacation trip, etc. for a longer stay 
(e.g. overnight), and for several different activities. Also applies to one -day trips to e.g.  
the weekend home, when the trip is done for several purposes and not just for e.g. 
harvesting.  
 Note : A one -day trip just for a visit to the theatre or to a sports event, for shopping, etc. 
should be coded by purpose, even if the travel itself lasts longe r than the principal 
activity.  
 Examples : By train to spend a night in a hotel / Inter -rail to Germany / Went to my 
sister’s home for vacation.  "
9.0.0;Other or unspecified travel purpose;" Definition : Travel related to  codes  ""01 SLEEPING"",  ""02 EATING"" and  ""03 OTHER 
PERSONAL CARE"" ; it includes u nspecified travel purpose.  
 Examples : Went for lunch to my sister's.  
   AUXILIARY CODES  "
9.9.5;Filling in the time use diary;" Definition : Activities related to the Time Use survey itself.  
 Examples : Contacts with the interviewer / Helped the child with the Time use diary.  "
9.9.8;Unspecified leisure time;" Definition : Leisure time, but no specific activity is mentioned.  
 Note : The code 998 should be used only when the activity falls into one of the fol lowing 
groups ""5 SOCIAL LIVE AND ENTERTAINMENT"" , ""7 HOBBIES""  or ""8 MASS MEDIA"", 
but no more precise code can be assigned.  
 Examples : Leisure time / Various leisure time activities / Time off / Spare time  "
9.9.9;Other unspecified time use;" Examples : No activity recorded in the diary / Did a little bit of everything / Spent the 
evening at home / Was at home / Was on holiday / Came home, went out (if it is not 
possible to add it to the previous or the following activity) . 
 
 
Annex IV / 2. 2 Use of a comp uter, smart device, internet, online tool, etc. 
for doing the main or secondary activity  "
